order_id,session_id,user_id,group,city_tier,phase,order_ts,items_count,basket_value_inr,free_delivery_unlocked,delivery_fee_charged_inr,delivery_cost_inr,gross_margin_inr
O0000037,S0119935,U072821,treatment,metro,post,2026-02-02 06:08:51,5,872.3,1,0.0,32.39,168.75
O0000038,S0064351,U141998,treatment,tier_2,post,2026-02-02 06:08:56,8,555.14,1,0.0,49.44,109.63
O0000039,S0052906,U038040,control,tier_2,post,2026-02-02 06:10:47,5,494.09,0,35.0,53.21,75.9
O0000040,S0113510,U034013,treatment,tier_2,post,2026-02-02 06:11:33,6,619.2,1,0.0,41.26,116.32
O0000041,S0051766,U042865,treatment,metro,post,2026-02-02 06:11:54,4,310.2,0,35.0,37.65,58.54
O0000042,S0045444,U021096,treatment,tier_2,post,2026-02-02 06:12:11,7,850.78,1,0.0,55.22,136.49
O0000043,S0043031,U027209,treatment,metro,post,2026-02-02 06:13:19,6,852.72,1,0.0,35.67,172.25
O0000044,S0132457,U145100,treatment,metro,post,2026-02-02 06:18:07,6,640.67,1,0.0,33.0,106.65
O0000045,S0136539,U007943,treatment,metro,post,2026-02-02 06:20:22,6,595.24,1,0.0,30.85,106.35
O0000046,S0135956,U032578,treatment,tier_3,post,2026-02-02 06:22:06,7,779.41,1,0.0,60.02,146.22
O0000047,S0153358,U079472,treatment,metro,post,2026-02-02 06:22:41,4,618.78,1,0.0,35.84,118.83
O0000048,S0132419,U059500,treatment,tier_2,post,2026-02-02 06:25:21,4,,0,35.0,57.47,24.57
O0000049,S0006799,U026672,treatment,tier_2,post,2026-02-02 06:25:49,1,210.17,0,35.0,43.84,39.35
O0000050,S0048638,U016173,control,tier_2,post,2026-02-02 06:26:23,4,191.73,0,35.0,37.69,29.67
O0000051,S0075575,U137713,control,metro,post,2026-02-02 06:27:29,5,407.59,0,35.0,36.0,72.9
O0000052,S0010723,U055577,treatment,metro,post,2026-02-02 06:28:54,3,311.76,0,35.0,32.39,56.69
O0000053,S0024753,U125441,control,tier_2,post,2026-02-02 06:30:17,7,1186.09,1,0.0,38.5,201.31
O0000054,S0126452,U135401,treatment,metro,post,2026-02-02 06:32:41,9,1735.91,1,0.0,47.08,336.44
O0000055,S0076359,U063845,control,tier_3,post,2026-02-02 06:36:20,6,431.63,0,35.0,46.65,83.11
O0000056,S0067557,U090160,control,tier_2,post,2026-02-02 06:37:05,4,375.66,0,35.0,45.26,69.73
O0000057,S0151279,U108637,treatment,tier_2,post,2026-02-02 06:37:59,5,814.25,1,0.0,52.44,132.14
O0000058,S0004588,U095973,treatment,tier_3,post,2026-02-02 06:38:38,2,182.65,0,35.0,45.51,36.42
O0000059,S0052150,U102776,control,tier_2,post,2026-02-02 06:39:27,4,449.92,0,35.0,42.9,81.94
O0000060,S0090735,U145275,treatment,tier_2,post,2026-02-02 06:39:34,4,580.82,1,0.0,42.84,122.02
O0000061,S0097807,U125586,treatment,tier_2,post,2026-02-02 06:40:12,4,294.38,0,35.0,37.24,55.81
O0000062,S0081584,U077787,treatment,tier_2,post,2026-02-02 06:40:36,4,566.48,1,0.0,52.39,119.22
O0000063,S0121746,U066532,control,metro,post,2026-02-02 06:41:39,2,203.65,0,35.0,34.5,40.62
O0000064,S0096160,U041224,treatment,metro,post,2026-02-02 06:45:11,5,277.49,0,35.0,40.55,53.84
O0000065,S0132280,U065827,control,tier_2,post,2026-02-02 06:48:06,4,367.48,0,35.0,34.1,77.08
O0000066,S0025946,U141923,control,metro,post,2026-02-02 06:48:44,7,,1,0.0,45.93,204.52
O0000067,S0012808,U103062,treatment,tier_3,post,2026-02-02 06:48:50,4,371.1,0,35.0,52.98,61.45
O0000068,S0057053,U083008,control,metro,post,2026-02-02 06:51:38,3,153.18,0,35.0,53.25,27.96
O0000069,S0156189,U004597,treatment,metro,post,2026-02-02 06:53:49,3,593.13,1,0.0,27.84,117.29
O0000070,S0032546,U146297,control,tier_3,post,2026-02-02 06:53:54,6,527.95,1,0.0,45.06,103.76
O0000071,S0080555,U056343,treatment,metro,post,2026-02-02 06:57:45,3,255.98,0,35.0,33.19,45.4
O0000072,S0015230,U113746,treatment,tier_3,post,2026-02-02 07:01:18,4,261.81,0,35.0,57.62,46.64
O0000073,S0078455,U045458,control,metro,post,2026-02-02 07:04:12,3,283.62,0,35.0,33.46,54.05
O0000074,S0087285,U068629,control,metro,post,2026-02-02 07:05:10,8,591.97,1,0.0,35.42,118.43
O0000075,S0141748,U074818,control,tier_2,post,2026-02-02 07:11:31,3,342.54,0,35.0,43.66,69.59
O0000076,S0126582,U134413,control,metro,post,2026-02-02 07:13:03,7,478.18,0,35.0,29.71,84.72
O0000077,S0153704,U130888,treatment,tier_3,post,2026-02-02 07:13:45,7,573.7,1,0.0,52.71,94.6
O0000078,S0033351,U151623,control,metro,post,2026-02-02 07:14:42,2,328.22,0,35.0,36.67,66.02
O0000079,S0144896,U129696,control,tier_2,post,2026-02-02 07:15:30,3,247.62,0,35.0,44.69,38.12
O0000080,S0063593,U079696,control,metro,post,2026-02-02 07:15:49,8,1330.93,1,0.0,30.9,161.33
O0000081,S0038419,U014771,control,tier_2,post,2026-02-02 07:16:49,6,500.05,1,0.0,42.34,88.82
O0000082,S0159522,U056457,control,tier_2,post,2026-02-02 07:17:31,3,362.37,0,35.0,47.97,61.59
O0000083,S0036405,U055174,treatment,tier_2,post,2026-02-02 07:17:49,5,595.05,1,0.0,33.32,78.41
O0000084,S0153280,U027735,treatment,metro,post,2026-02-02 07:18:24,3,300.39,0,35.0,40.81,49.64
O0000085,S0031188,U008723,treatment,tier_2,post,2026-02-02 07:18:42,5,530.65,1,0.0,52.03,97.91
O0000086,S0067061,U136275,control,tier_2,post,2026-02-02 07:18:47,3,229.97,0,35.0,38.08,43.63
O0000087,S0148759,U086332,treatment,tier_2,post,2026-02-02 07:19:00,5,648.26,1,0.0,47.98,102.21
O0000088,S0066609,U142867,control,tier_3,post,2026-02-02 07:19:03,7,396.85,0,35.0,86.37,85.47
O0000089,S0025725,U107934,control,tier_3,post,2026-02-02 07:19:48,4,233.01,0,35.0,61.36,42.08
O0000090,S0102048,U106231,treatment,metro,post,2026-02-02 07:20:05,4,518.38,1,0.0,44.93,117.41
O0000091,S0023352,U137995,treatment,metro,post,2026-02-02 07:21:44,6,915.74,1,0.0,41.63,185.58
O0000092,S0007537,U154072,control,tier_2,post,2026-02-02 07:22:19,3,340.24,0,35.0,51.7,61.45
O0000093,S0123133,U124986,treatment,metro,post,2026-02-02 07:22:24,4,710.57,1,0.0,40.19,111.65
O0000094,S0023147,U013868,control,metro,post,2026-02-02 07:24:03,3,372.3,0,35.0,27.26,77.05
O0000095,S0002081,U025895,control,metro,post,2026-02-02 07:24:31,2,328.25,0,35.0,30.22,60.76
O0000096,S0019890,U152129,control,metro,post,2026-02-02 07:26:03,3,318.51,0,35.0,33.97,62.66
O0000097,S0034405,U146680,treatment,tier_3,post,2026-02-02 07:27:47,6,675.93,1,0.0,53.73,113.18
O0000098,S0098292,U085996,treatment,metro,post,2026-02-02 07:27:53,4,477.63,0,35.0,40.72,87.79
O0000099,S0021683,U092893,treatment,tier_2,post,2026-02-02 07:28:00,6,608.71,1,0.0,46.69,105.58
O0000100,S0061386,U001504,control,tier_3,post,2026-02-02 07:29:38,5,592.18,1,0.0,63.97,85.47
O0000101,S0060971,U047902,control,tier_3,post,2026-02-02 07:29:55,3,127.65,0,35.0,47.65,24.77
O0000102,S0089761,U087790,control,metro,post,2026-02-02 07:30:22,4,492.33,0,35.0,46.58,96.52
O0000103,S0135149,U086187,control,metro,post,2026-02-02 07:31:26,2,270.51,0,35.0,39.97,43.24
O0000104,S0101378,U150474,control,metro,post,2026-02-02 07:33:46,3,413.49,0,35.0,30.59,65.25
O0000105,S0156763,U100417,treatment,metro,post,2026-02-02 07:34:06,3,290.62,0,35.0,40.94,49.02
O0000106,S0089753,U153419,treatment,metro,post,2026-02-02 07:34:41,4,607.99,1,0.0,39.76,141.01
O0000107,S0038106,U012545,control,tier_3,post,2026-02-02 07:37:17,2,114.03,0,35.0,65.43,17.12
O0000108,S0109571,U099613,control,tier_3,post,2026-02-02 07:38:52,4,230.24,0,35.0,48.09,36.91
O0000109,S0071084,U032403,control,tier_2,post,2026-02-02 07:39:13,6,690.73,1,0.0,53.28,122.76
O0000110,S0124571,U091898,treatment,tier_2,post,2026-02-02 07:39:13,4,598.22,1,0.0,45.67,105.23
O0000111,S0007293,U087043,control,tier_3,post,2026-02-02 07:41:02,3,119.79,0,35.0,54.28,20.82
O0000112,S0083224,U153003,treatment,tier_2,post,2026-02-02 07:41:57,7,1179.88,1,0.0,36.5,247.15
O0000113,S0056383,U079169,control,tier_3,post,2026-02-02 07:42:08,5,417.1,0,35.0,73.66,83.87
O0000114,S0056438,U031776,treatment,metro,post,2026-02-02 07:42:23,4,245.55,0,35.0,47.32,40.27
O0000115,S0041982,U042557,treatment,tier_3,post,2026-02-02 07:42:25,8,525.63,1,0.0,71.57,95.02
O0000116,S0148303,U086726,treatment,metro,post,2026-02-02 07:43:06,6,839.8,1,0.0,37.85,175.57
O0000117,S0081897,U107338,treatment,metro,post,2026-02-02 07:43:34,5,659.46,1,0.0,43.95,104.21
O0000118,S0158048,U119643,control,tier_3,post,2026-02-02 07:44:07,7,816.58,1,0.0,67.27,165.76
O0000119,S0132021,U139874,control,tier_2,post,2026-02-02 07:44:56,3,251.47,0,35.0,45.75,49.15
O0000120,S0084247,U122895,treatment,tier_2,post,2026-02-02 07:45:10,5,387.88,0,35.0,37.19,50.62
O0000121,S0038094,U046026,treatment,metro,post,2026-02-02 07:47:00,4,633.69,1,0.0,32.6,129.63
O0000122,S0039154,U010032,control,tier_3,post,2026-02-02 07:47:22,3,176.46,0,35.0,65.32,33.54
O0000123,S0110462,U082078,control,metro,post,2026-02-02 07:47:27,4,364.81,0,35.0,29.36,69.82
O0000124,S0071790,U099938,control,tier_2,post,2026-02-02 07:50:22,2,196.73,0,35.0,30.08,41.43
O0000125,S0106590,U077140,treatment,metro,post,2026-02-02 07:50:34,3,642.47,1,0.0,42.05,130.45
O0000126,S0147833,U139278,treatment,metro,post,2026-02-02 07:52:01,7,662.12,1,0.0,39.59,140.59
O0000127,S0052451,U063997,control,tier_2,post,2026-02-02 07:52:30,4,313.27,0,35.0,41.32,65.63
O0000128,S0106927,U039622,control,tier_2,post,2026-02-02 07:53:03,3,145.84,0,35.0,51.05,29.96
O0000129,S0085796,U138363,control,tier_3,post,2026-02-02 07:53:38,6,330.54,0,35.0,70.92,60.97
O0000130,S0076184,U157070,control,tier_2,post,2026-02-02 07:53:56,6,774.74,1,0.0,41.39,145.8
O0000131,S0007793,U052721,treatment,metro,post,2026-02-02 07:54:24,6,1067.47,1,0.0,29.74,171.27
O0000132,S0155189,U035944,control,metro,post,2026-02-02 07:55:30,5,729.99,1,0.0,34.73,140.42
O0000133,S0120531,U055908,control,tier_3,post,2026-02-02 07:57:17,2,146.56,0,35.0,60.28,27.37
O0000134,S0075887,U036773,treatment,metro,post,2026-02-02 07:58:17,5,572.53,1,0.0,53.55,90.79
O0000135,S0006963,U045815,treatment,tier_2,post,2026-02-02 07:58:39,6,844.15,1,0.0,46.16,130.97
O0000136,S0007401,U022708,control,tier_2,post,2026-02-02 07:59:10,5,361.59,0,35.0,48.59,72.09
O0000137,S0109948,U055662,control,metro,post,2026-02-02 07:59:16,2,198.11,0,35.0,35.69,31.99
O0000138,S0079250,U033609,control,tier_2,post,2026-02-02 07:59:51,5,408.21,0,35.0,31.42,77.18
O0000139,S0108613,U133524,treatment,tier_2,post,2026-02-02 08:01:54,6,442.72,0,35.0,35.32,87.34
O0000140,S0052366,U044816,treatment,metro,post,2026-02-02 08:02:31,1,77.1,0,35.0,38.12,15.26
O0000141,S0008815,U140986,treatment,tier_3,post,2026-02-02 08:03:43,7,509.28,1,0.0,59.57,101.42
O0000142,S0016668,U027299,treatment,tier_2,post,2026-02-02 08:05:38,4,312.56,0,35.0,44.0,56.11
O0000143,S0067798,U044589,treatment,tier_3,post,2026-02-02 08:06:07,3,241.29,0,35.0,74.62,49.87
O0000144,S0004057,U040957,treatment,metro,post,2026-02-02 08:06:10,3,166.67,0,35.0,38.48,34.98
O0000145,S0089033,U157858,control,tier_2,post,2026-02-02 08:07:37,3,281.51,0,35.0,49.91,59.05
O0000146,S0047786,U021118,control,tier_2,post,2026-02-02 08:07:51,2,504.34,1,0.0,42.75,98.78
O0000147,S0009606,U125270,treatment,tier_3,post,2026-02-02 08:08:00,4,449.74,0,35.0,65.84,96.92
O0000148,S0137306,U010259,control,tier_2,post,2026-02-02 08:08:50,4,445.35,0,35.0,41.25,77.25
O0000149,S0079272,U028809,treatment,metro,post,2026-02-02 08:10:36,7,627.9,1,0.0,40.14,131.91
O0000150,S0055110,U101578,treatment,metro,post,2026-02-02 08:10:38,4,663.55,1,0.0,38.56,115.57
O0000151,S0006165,U007520,treatment,tier_3,post,2026-02-02 08:12:52,7,605.77,1,0.0,69.22,102.89
O0000152,S0063423,U053171,treatment,tier_2,post,2026-02-02 08:13:58,5,612.69,1,0.0,49.14,101.82
O0000153,S0053745,U156144,control,tier_2,post,2026-02-02 08:14:21,7,665.99,1,0.0,42.37,141.39
O0000154,S0118094,U159028,treatment,metro,post,2026-02-02 08:14:43,7,1112.82,1,0.0,23.88,146.77
O0000155,S0080843,U146099,treatment,metro,post,2026-02-02 08:15:28,3,341.08,0,35.0,37.38,61.01
O0000156,S0073781,U041293,control,tier_3,post,2026-02-02 08:15:32,1,94.83,0,35.0,58.25,17.34
O0000157,S0038979,U029207,control,metro,post,2026-02-02 08:15:33,5,489.67,0,35.0,33.06,93.68
O0000158,S0039021,U127745,treatment,tier_3,post,2026-02-02 08:16:33,6,838.71,1,0.0,58.9,164.4
O0000159,S0003908,U082581,control,tier_3,post,2026-02-02 08:17:06,7,813.53,1,0.0,69.85,155.6
O0000160,S0108917,U118316,control,tier_2,post,2026-02-02 08:17:12,7,403.52,0,35.0,41.38,63.1
O0000161,S0021080,U036304,control,tier_2,post,2026-02-02 08:17:25,5,215.15,0,35.0,42.61,33.26
O0000162,S0035852,U127961,treatment,tier_2,post,2026-02-02 08:17:41,9,467.09,0,35.0,47.56,94.03
O0000163,S0135498,U086551,treatment,metro,post,2026-02-02 08:20:42,5,646.31,1,0.0,29.75,132.55
O0000164,S0060786,U053461,treatment,metro,post,2026-02-02 08:20:57,9,1015.91,1,0.0,30.55,202.95
O0000165,S0101625,U121023,treatment,tier_3,post,2026-02-02 08:22:00,8,1071.15,1,0.0,47.34,201.8
O0000166,S0078439,U140976,control,tier_3,post,2026-02-02 08:22:31,3,233.58,0,35.0,73.45,47.24
O0000167,S0115341,U098555,control,metro,post,2026-02-02 08:23:03,5,529.33,1,0.0,45.36,94.73
O0000168,S0097281,U107027,treatment,tier_2,post,2026-02-02 08:24:13,4,568.99,1,0.0,47.32,98.27
O0000169,S0103829,U110768,control,tier_2,post,2026-02-02 08:25:46,3,333.03,0,35.0,51.34,60.77
O0000170,S0089709,U151526,control,metro,post,2026-02-02 08:27:48,3,255.17,0,35.0,41.88,45.78
O0000171,S0074915,U092445,control,metro,post,2026-02-02 08:28:14,5,278.08,0,35.0,35.15,51.83
O0000172,S0123466,U043449,control,tier_3,post,2026-02-02 08:33:40,4,366.66,0,35.0,44.02,62.68
O0000173,S0148796,U086354,control,tier_3,post,2026-02-02 08:36:54,5,342.32,0,35.0,63.45,68.54
O0000174,S0082384,U057216,treatment,tier_2,post,2026-02-02 08:39:06,6,479.55,0,35.0,36.22,78.44
O0000175,S0046563,U108693,treatment,metro,post,2026-02-02 08:40:31,8,973.02,1,0.0,31.02,144.99
O0000176,S0061234,U008311,treatment,metro,post,2026-02-02 08:40:52,3,596.56,1,0.0,38.77,86.57
O0000177,S0133085,U025277,treatment,metro,post,2026-02-02 08:41:18,5,281.33,0,35.0,47.84,43.39
O0000178,S0138917,U059095,control,tier_2,post,2026-02-02 08:42:01,6,618.88,1,0.0,37.29,116.49
O0000179,S0125117,U011196,control,tier_2,post,2026-02-02 08:42:28,2,252.45,0,35.0,36.38,45.84
O0000180,S0134995,U086620,control,tier_3,post,2026-02-02 08:43:01,5,458.74,0,35.0,43.06,74.19
O0000181,S0151695,U119697,treatment,tier_3,post,2026-02-02 08:44:29,3,212.58,0,35.0,57.23,41.17
O0000182,S0144185,U038301,control,metro,post,2026-02-02 08:44:34,2,285.52,0,35.0,42.53,45.69
O0000183,S0123801,U022359,control,tier_3,post,2026-02-02 08:45:31,1,55.07,0,35.0,58.45,9.02
O0000184,S0020148,U088540,treatment,tier_2,post,2026-02-02 08:45:59,7,1084.5,1,0.0,57.78,200.85
O0000185,S0016597,U131419,control,metro,post,2026-02-02 08:46:40,4,320.82,0,35.0,41.11,50.19
O0000186,S0159806,U000762,treatment,tier_3,post,2026-02-02 08:47:07,1,52.98,0,35.0,58.24,9.1
O0000187,S0103082,U032963,control,metro,post,2026-02-02 08:47:21,4,488.44,0,35.0,46.94,100.56
O0000188,S0000893,U008832,control,metro,post,2026-02-02 08:47:32,2,224.54,0,35.0,27.6,38.43
O0000189,S0093154,U056658,control,metro,post,2026-02-02 08:48:21,3,350.8,0,35.0,38.34,69.22
O0000190,S0044881,U096110,treatment,tier_2,post,2026-02-02 08:49:41,4,580.83,1,0.0,41.03,87.73
O0000191,S0120589,U094832,treatment,metro,post,2026-02-02 08:50:37,5,575.46,1,0.0,26.5,100.69
O0000192,S0062923,U075957,control,tier_2,post,2026-02-02 08:51:49,3,216.2,0,35.0,30.95,36.22
O0000193,S0132338,U159808,control,tier_3,post,2026-02-02 08:53:13,7,501.04,1,0.0,54.76,86.7
O0000194,S0034065,U009158,control,metro,post,2026-02-02 08:53:52,5,452.38,0,35.0,50.69,85.94
O0000195,S0072386,U146969,control,tier_3,post,2026-02-02 08:54:29,5,544.49,1,0.0,52.12,92.89
O0000196,S0113069,U136519,treatment,tier_3,post,2026-02-02 08:56:13,3,347.04,0,35.0,55.42,40.87
O0000197,S0051646,U111290,treatment,metro,post,2026-02-02 08:56:17,3,627.8,1,0.0,41.64,102.73
O0000198,S0153006,U107467,control,metro,post,2026-02-02 08:56:54,5,333.87,0,35.0,44.12,60.16
O0000199,S0113576,U117074,treatment,tier_2,post,2026-02-02 08:56:59,1,127.69,0,35.0,50.28,21.71
O0000200,S0075890,U020175,control,metro,post,2026-02-02 08:57:42,6,416.47,0,35.0,36.23,67.7
O0000201,S0021698,U065575,treatment,metro,post,2026-02-02 08:58:45,5,236.0,0,35.0,41.2,50.77
O0000202,S0099106,U010241,control,tier_3,post,2026-02-02 09:01:01,4,498.98,0,35.0,72.89,97.07
O0000203,S0052890,U014507,control,tier_2,post,2026-02-02 09:02:22,2,346.51,0,35.0,47.75,58.39
O0000204,S0155368,U091306,treatment,tier_2,post,2026-02-02 09:02:56,3,195.8,0,35.0,42.02,36.26
O0000205,S0071117,U038383,treatment,metro,post,2026-02-02 09:02:57,3,229.1,0,35.0,41.88,46.08
O0000206,S0116545,U030202,control,metro,post,2026-02-02 09:03:01,5,305.73,0,35.0,36.68,54.1
O0000207,S0023672,U089133,treatment,metro,post,2026-02-02 09:04:48,4,309.21,0,35.0,28.86,59.72
O0000208,S0040131,U003129,control,metro,post,2026-02-02 09:04:57,5,219.7,0,35.0,37.42,37.91
O0000209,S0157368,U116004,treatment,metro,post,2026-02-02 09:05:40,4,338.62,0,35.0,48.77,58.18
O0000210,S0126519,U145050,control,metro,post,2026-02-02 09:05:54,5,219.21,0,35.0,41.86,43.81
O0000211,S0133369,U005883,treatment,metro,post,2026-02-02 09:06:22,5,678.96,1,0.0,37.76,116.81
O0000212,S0135236,U098139,control,metro,post,2026-02-02 09:06:31,3,582.64,1,0.0,45.11,112.43
O0000213,S0086711,U151712,control,tier_3,post,2026-02-02 09:08:19,3,248.25,0,35.0,65.64,40.22
O0000214,S0081272,U094649,control,tier_2,post,2026-02-02 09:08:45,4,465.23,0,35.0,42.14,90.65
O0000215,S0078929,U105990,treatment,metro,post,2026-02-02 09:09:38,4,866.11,1,0.0,35.94,124.9
O0000216,S0137573,U007876,control,tier_2,post,2026-02-02 09:09:40,4,224.67,0,35.0,52.86,41.23
O0000217,S0063442,U066871,treatment,metro,post,2026-02-02 09:10:07,5,629.14,1,0.0,25.64,97.49
O0000218,S0072147,U002118,control,tier_2,post,2026-02-02 09:10:43,7,715.79,1,0.0,44.6,117.64
O0000219,S0118209,U145758,control,metro,post,2026-02-02 09:12:12,6,522.34,1,0.0,25.29,92.2
O0000220,S0063405,U079298,treatment,tier_3,post,2026-02-02 09:12:24,1,147.02,0,35.0,49.92,28.32
O0000221,S0005188,U005441,treatment,tier_2,post,2026-02-02 09:12:44,1,116.74,0,35.0,41.43,21.47
O0000222,S0130325,U042392,control,tier_2,post,2026-02-02 09:13:37,2,130.09,0,35.0,35.48,23.19
O0000223,S0048549,U151908,control,tier_2,post,2026-02-02 09:13:39,3,512.65,1,0.0,47.47,103.88
O0000224,S0140417,U090115,treatment,metro,post,2026-02-02 09:14:27,3,306.16,0,35.0,37.24,47.52
O0000225,S0142005,U070623,treatment,tier_2,post,2026-02-02 09:14:33,4,554.91,1,0.0,25.27,114.12
O0000226,S0031368,U060506,treatment,metro,post,2026-02-02 09:14:55,2,305.7,0,35.0,37.14,55.47
O0000227,S0118787,U045591,control,tier_2,post,2026-02-02 09:14:59,3,279.82,0,35.0,47.57,56.83
O0000228,S0118899,U034788,control,tier_2,post,2026-02-02 09:16:30,4,270.23,0,35.0,44.62,51.49
O0000229,S0016204,U159490,control,tier_2,post,2026-02-02 09:20:24,6,406.32,0,35.0,56.29,82.11
O0000230,S0015566,U021914,treatment,tier_3,post,2026-02-02 09:21:11,5,562.98,1,0.0,85.5,101.38
O0000231,S0049981,U035866,control,tier_3,post,2026-02-02 09:22:11,10,993.68,1,0.0,53.06,177.44
O0000232,S0015005,U047753,control,tier_2,post,2026-02-02 09:22:28,5,599.89,1,0.0,48.23,99.31
O0000233,S0122739,U090469,treatment,tier_2,post,2026-02-02 09:22:33,5,270.94,0,35.0,40.84,45.19
O0000234,S0055806,U096727,treatment,metro,post,2026-02-02 09:24:33,4,310.92,0,35.0,43.35,49.58
O0000235,S0040251,U123859,control,metro,post,2026-02-02 09:24:46,9,1002.49,1,0.0,35.73,202.06
O0000236,S0137232,U135589,treatment,tier_2,post,2026-02-02 09:25:39,9,1325.93,1,0.0,41.7,217.14
O0000237,S0128019,U063717,control,tier_2,post,2026-02-02 09:27:33,4,438.75,0,35.0,35.96,69.07
O0000238,S0067944,U083121,treatment,metro,post,2026-02-02 09:28:36,6,470.97,0,35.0,44.42,79.11
O0000239,S0096004,U133270,control,tier_2,post,2026-02-02 09:28:41,3,236.42,0,35.0,52.6,41.22
O0000240,S0081381,U154779,treatment,tier_3,post,2026-02-02 09:28:44,7,548.84,1,0.0,61.21,109.76
O0000241,S0091495,U077121,treatment,tier_2,post,2026-02-02 09:29:20,7,481.09,0,35.0,51.72,84.78
O0000242,S0064784,U071107,treatment,metro,post,2026-02-02 09:31:15,3,312.68,0,35.0,47.52,45.54
O0000243,S0148380,U057985,treatment,metro,post,2026-02-02 09:31:43,3,603.05,1,0.0,36.74,116.8
O0000244,S0103265,U088952,control,tier_2,post,2026-02-02 09:32:26,4,311.86,0,35.0,48.08,59.12
O0000245,S0092208,U108791,control,tier_2,post,2026-02-02 09:35:45,3,204.28,0,35.0,35.27,44.29
O0000246,S0020629,U138204,control,tier_2,post,2026-02-02 09:37:13,8,614.79,1,0.0,39.26,129.86
